央视,#genre#
CCTV-1,http://123.118.225.252:9090/rtp/239.3.1.129:8008
CCTV-2,http://123.118.225.252:9090/rtp/239.3.1.60:8084
CCTV-3,http://123.118.225.252:9090/rtp/239.3.1.172:8001
CCTV-4,http://123.118.225.252:9090/rtp/239.3.1.105:8092
CCTV-5,http://123.118.225.252:9090/rtp/239.3.1.173:8001
CCTV-5+,http://123.118.225.252:9090/rtp/239.3.1.130:8004
CCTV-6,http://123.118.225.252:9090/rtp/239.3.1.174:8001
CCTV-7,http://123.118.225.252:9090/rtp/239.3.1.61:8104
CCTV-8,http://123.118.225.252:9090/rtp/239.3.1.175:8001
CCTV-9,http://123.118.225.252:9090/rtp/239.3.1.62:8112
CCTV-10,http://123.118.225.252:9090/rtp/239.3.1.63:8116
CCTV-11,http://123.118.225.252:9090/rtp/239.3.1.152:8120
CCTV-12,http://123.118.225.252:9090/rtp/239.3.1.64:8124
CCTV-13,http://123.118.225.252:9090/rtp/239.3.1.124:8128
CCTV-14,http://123.118.225.252:9090/rtp/239.3.1.65:8132
CCTV-15,http://123.118.225.252:9090/rtp/239.3.1.153:8136
CCTV-16,http://123.118.225.252:9090/rtp/239.3.1.184:8001
CCTV-17,http://123.118.225.252:9090/rtp/239.3.1.151:8144
卫视,#genre#
湖南卫视,http://123.118.225.252:9090/rtp/239.3.1.132:8012
东方卫视,http://123.118.225.252:9090/rtp/239.3.1.136:8032
浙江卫视,http://123.118.225.252:9090/rtp/239.3.1.137:8036
江苏卫视,http://123.118.225.252:9090/rtp/239.3.1.135:8028
深圳卫视,http://123.118.225.252:9090/rtp/239.3.1.134:8020
广东卫视,http://123.118.225.252:9090/rtp/239.3.1.142:8048
安徽卫视,http://123.118.225.252:9090/rtp/239.3.1.211:8064
天津卫视,http://123.118.225.252:9090/rtp/239.3.1.141:1234
重庆卫视,http://123.118.225.252:9090/rtp/239.3.1.122:8160
山东卫视,http://123.118.225.252:9090/rtp/239.3.1.209:8052
黑龙江卫视,http://123.118.225.252:9090/rtp/239.3.1.133:8016
河北卫视,http://123.118.225.252:9090/rtp/239.3.1.148:8072
辽宁卫视,http://123.118.225.252:9090/rtp/239.3.1.210:8056
湖北卫视,http://123.118.225.252:9090/rtp/239.3.1.138:8044
吉林卫视,http://123.118.225.252:9090/rtp/239.3.1.240:8172
贵州卫视,http://123.118.225.252:9090/rtp/239.3.1.149:8076
东南卫视,http://123.118.225.252:9090/rtp/239.3.1.156:8148
江西卫视,http://123.118.225.252:9090/rtp/239.3.1.123:8164
北京,#genre#
BRTV北京卫视,http://123.118.225.252:9090/rtp/239.3.1.241:8000
BRTV新闻,http://123.118.225.252:9090/rtp/239.3.1.159:8000
BRTV影视,http://123.118.225.252:9090/rtp/239.3.1.158:8000
BRTV文艺,http://123.118.225.252:9090/rtp/239.3.1.242:8000
BRTV财经,http://123.118.225.252:9090/rtp/239.3.1.116:8000
BRTV生活,http://123.118.225.252:9090/rtp/239.3.1.117:8000
BRTV纪实科教,http://123.118.225.252:9090/rtp/239.3.1.115:8000
BRTV卡酷少儿,http://123.118.225.252:9090/rtp/239.3.1.189:8000
BRTV体育休闲,http://123.118.225.252:9090/rtp/239.3.1.243:8000
BTV国际频道,http://123.118.225.252:9090/rtp/239.3.1.235:8000
其他,#genre#
淘电影,http://123.118.225.252:9090/rtp/239.3.1.250:8001
星影,http://123.118.225.252:9090/rtp/239.3.1.94:4120
动作影院,http://123.118.225.252:9090/rtp/239.3.1.92:4120
光影,http://123.118.225.252:9090/rtp/239.3.1.84:4120
喜剧影院,http://123.118.225.252:9090/rtp/239.3.1.91:4120
家庭影院,http://123.118.225.252:9090/rtp/239.3.1.93:4120
精选,http://123.118.225.252:9090/rtp/239.3.1.74:4120
经典电影,http://123.118.225.252:9090/rtp/239.3.1.195:9024
纪实人文,http://123.118.225.252:9090/rtp/239.3.1.212:8060
金鹰纪实,http://123.118.225.252:9090/rtp/239.3.1.58:8156
地理,http://123.118.225.252:9090/rtp/239.3.1.71:4120
睛彩竞技,http://123.118.225.252:9090/rtp/239.3.1.125:8001
睛彩篮球,http://123.118.225.252:9090/rtp/239.3.1.126:8001
睛彩羽毛球,http://123.118.225.252:9090/rtp/239.3.1.127:8001
睛彩广场舞,http://123.118.225.252:9090/rtp/239.3.1.128:8001
茶频道,http://123.118.225.252:9090/rtp/239.3.1.165:8001
体育赛事,http://123.118.225.252:9090/rtp/239.3.1.157:8176
淘精彩,http://123.118.225.252:9090/rtp/239.3.1.178:8001
快乐垂钓,http://123.118.225.252:9090/rtp/239.3.1.164:8001
大健康,http://123.118.225.252:9090/rtp/239.3.1.251:8001


